College_Name,URL_CtP
Bellarmine University,https://ChangingThePresent.org/collections/Bellarmine-University
Bellevue College,https://ChangingThePresent.org/collections/Bellevue-College
Bellevue University,https://ChangingThePresent.org/collections/Bellevue-University
Bellin College,https://ChangingThePresent.org/collections/Bellin-College
Bellingham Technical College,https://ChangingThePresent.org/collections/Bellingham-Technical-College
Belmont Abbey College,https://ChangingThePresent.org/collections/Belmont-Abbey-College
Belmont College,https://ChangingThePresent.org/collections/Belmont-College
Belmont University,https://ChangingThePresent.org/collections/Belmont-University
Beloit College,https://ChangingThePresent.org/collections/Beloit-College
Bemidji State University,https://ChangingThePresent.org/collections/Bemidji-State-University
Ben Franklin Career Center,https://ChangingThePresent.org/collections/Ben-Franklin-Career-Center
Benedict College,https://ChangingThePresent.org/collections/Benedict-College
Benedictine College,https://ChangingThePresent.org/collections/Benedictine-College
Benedictine University,https://ChangingThePresent.org/collections/Benedictine-University
Benjamin Franklin Institute of Technology,https://ChangingThePresent.org/collections/Benjamin-Franklin-Institute-Of-Technology
Bennett College,https://ChangingThePresent.org/collections/Bennett-College
Bennington College,https://ChangingThePresent.org/collections/Bennington-College
Bentley University,https://ChangingThePresent.org/collections/Bentley-University
Berea College,https://ChangingThePresent.org/collections/Berea-College
Bergen Community College,https://ChangingThePresent.org/collections/Bergen-Community-College
Bergin University of Canine Studies,https://ChangingThePresent.org/collections/Bergin-University-Of-Canine-Studies
Berkeley City College,https://ChangingThePresent.org/collections/Berkeley-City-College
Berklee College of Music,https://ChangingThePresent.org/collections/Berklee-College-Of-Music
Berks Career & Technology Center,https://ChangingThePresent.org/collections/Berks-Career-&-Technology-Center
Berkshire Community College,https://ChangingThePresent.org/collections/Berkshire-Community-College
Berry College,https://ChangingThePresent.org/collections/Berry-College
Beth Hamedrash Shaarei Yosher Institute,https://ChangingThePresent.org/collections/Beth-Hamedrash-Shaarei-Yosher-Institute
Beth Hatalmud Rabbinical College,https://ChangingThePresent.org/collections/Beth-Hatalmud-Rabbinical-College
Beth Medrash Govoha,https://ChangingThePresent.org/collections/Beth-Medrash-Govoha
Bethany College,https://ChangingThePresent.org/collections/Bethany-College
Bethany College,https://ChangingThePresent.org/collections/Bethany-College
Bethany Lutheran College,https://ChangingThePresent.org/collections/Bethany-Lutheran-College
Bethany Theological Seminary,https://ChangingThePresent.org/collections/Bethany-Theological-Seminary
Bethel College,https://ChangingThePresent.org/collections/Bethel-College
Bethel College-Indiana,https://ChangingThePresent.org/collections/Bethel-College-Indiana
Bethel College-North Newton,https://ChangingThePresent.org/collections/Bethel-College-North-Newton
Bethel Seminary of the East,https://ChangingThePresent.org/collections/Bethel-Seminary-Of-The-East
Bethel Seminary-San Diego,https://ChangingThePresent.org/collections/Bethel-Seminary-San-Diego
Bethel Seminary-St Paul,https://ChangingThePresent.org/collections/Bethel-Seminary-St-Paul
Bethel University,https://ChangingThePresent.org/collections/Bethel-University
Bethel University,https://ChangingThePresent.org/collections/Bethel-University
Bethesda University,https://ChangingThePresent.org/collections/Bethesda-University
Bethune-Cookman University,https://ChangingThePresent.org/collections/Bethune-Cookman-University
Beulah Heights University,https://ChangingThePresent.org/collections/Beulah-Heights-University
Bevill State Community College,https://ChangingThePresent.org/collections/Bevill-State-Community-College
Bexley Hall Episcopal Seminary,https://ChangingThePresent.org/collections/Bexley-Hall-Episcopal-Seminary
Bexley Hall Seabury Western Theological Seminary Federation,https://ChangingThePresent.org/collections/Bexley-Hall-Seabury-Western-Theological-Seminary-Federation
Biblical Theological Seminary,https://ChangingThePresent.org/collections/Biblical-Theological-Seminary
Bidwell Training Center Inc,https://ChangingThePresent.org/collections/Bidwell-Training-Center-Inc
Big Bend Community College,https://ChangingThePresent.org/collections/Big-Bend-Community-College
Big Sandy Community and Technical College,https://ChangingThePresent.org/collections/Big-Sandy-Community-And-Technical-College
Biola University,https://ChangingThePresent.org/collections/Biola-University
Birmingham Southern College,https://ChangingThePresent.org/collections/Birmingham-Southern-College
Birthingway College of Midwifery,https://ChangingThePresent.org/collections/Birthingway-College-Of-Midwifery
Bishop State Community College,https://ChangingThePresent.org/collections/Bishop-State-Community-College
Bismarck State College,https://ChangingThePresent.org/collections/Bismarck-State-College
Black Hawk College,https://ChangingThePresent.org/collections/Black-Hawk-College
Black Hills State University,https://ChangingThePresent.org/collections/Black-Hills-State-University
Black River Technical College,https://ChangingThePresent.org/collections/Black-River-Technical-College
Blackburn College,https://ChangingThePresent.org/collections/Blackburn-College
Blackfeet Community College,https://ChangingThePresent.org/collections/Blackfeet-Community-College
Blackhawk Technical College,https://ChangingThePresent.org/collections/Blackhawk-Technical-College
Blackstone Valley Vocational Regional School District,https://ChangingThePresent.org/collections/Blackstone-Valley-Vocational-Regional-School-District
Bladen Community College,https://ChangingThePresent.org/collections/Bladen-Community-College
Blessing Hospital School of Medical Laboratory Technology,https://ChangingThePresent.org/collections/Blessing-Hospital-School-Of-Medical-Laboratory-Technology
Blessing Hospital School of Radiologic Technology,https://ChangingThePresent.org/collections/Blessing-Hospital-School-Of-Radiologic-Technology
Blessing Rieman College of Nursing,https://ChangingThePresent.org/collections/Blessing-Rieman-College-Of-Nursing
Blinn College,https://ChangingThePresent.org/collections/Blinn-College
Bloomfield College,https://ChangingThePresent.org/collections/Bloomfield-College
Bloomsburg University of Pennsylvania,https://ChangingThePresent.org/collections/Bloomsburg-University-Of-Pennsylvania
Blue Hills Regional Technical School,https://ChangingThePresent.org/collections/Blue-Hills-Regional-Technical-School
Blue Mountain College,https://ChangingThePresent.org/collections/Blue-Mountain-College
Blue Mountain Community College,https://ChangingThePresent.org/collections/Blue-Mountain-Community-College
Blue Ridge Community and Technical College,https://ChangingThePresent.org/collections/Blue-Ridge-Community-And-Technical-College
Blue Ridge Community College,https://ChangingThePresent.org/collections/Blue-Ridge-Community-College
Blue Ridge Community College,https://ChangingThePresent.org/collections/Blue-Ridge-Community-College
Blue Sky School of Professional Massage and Therapeutic Bodywork,https://ChangingThePresent.org/collections/Blue-Sky-School-Of-Professional-Massage-And-Therapeutic-Bodywork
Bluefield College,https://ChangingThePresent.org/collections/Bluefield-College
Bluefield State College,https://ChangingThePresent.org/collections/Bluefield-State-College
Bluegrass Community and Technical College,https://ChangingThePresent.org/collections/Bluegrass-Community-And-Technical-College
Bluffton University,https://ChangingThePresent.org/collections/Bluffton-University
Boise Bible College,https://ChangingThePresent.org/collections/Boise-Bible-College
Boise State University,https://ChangingThePresent.org/collections/Boise-State-University
Bon Secours Memorial College of Nursing,https://ChangingThePresent.org/collections/Bon-Secours-Memorial-College-Of-Nursing
Bon Secours St Mary's Hospital School of Medical Imaging,https://ChangingThePresent.org/collections/Bon-Secours-St-Mary-S-Hospital-School-Of-Medical-Imaging
Boricua College,https://ChangingThePresent.org/collections/Boricua-College
Bossier Parish Community College,https://ChangingThePresent.org/collections/Bossier-Parish-Community-College
Boston Architectural College,https://ChangingThePresent.org/collections/Boston-Architectural-College
Boston Baptist College,https://ChangingThePresent.org/collections/Boston-Baptist-College
Boston College,https://ChangingThePresent.org/collections/Boston-College
Boston Graduate School of Psychoanalysis Inc,https://ChangingThePresent.org/collections/Boston-Graduate-School-Of-Psychoanalysis-Inc
Boston University,https://ChangingThePresent.org/collections/Boston-University
